point,planet
989853880,~fodder-barbet
1337795750,~bitser-barred
3265530803,~misrun-ballet
3646228134,~sorner-batful
324447392,~tommed-batful
619120431,~bitser-batler
161352627,~latter-bolden
15183030,~fabler-bolder
223282611,~misrun-bister
2855417248,~nomnem-bister
2064331956,~halted-bornyl
3772253619,~miswed-daswen
990443189,~hallux-differ
2666662835,~pander-darner
1027028148,~dotlet-dorper
1923614374,~pagrus-dinted
2375091635,~finner-dorter
3090155702,~hander-falter
384018898,~fogrum-finned
1970812320,~disbud-firmed
3691316659,~formyl-fillet
2818049839,~mattes-fillet
745273528,~tarted-fonder
183907744,~worser-formyl
2133919398,~lacrym-fossed
72942002,~ramped-fossed
649440416,~tanrec-fossed
920270240,~rilled-halter
149204150,~formel-fortes
4186768034,~tarter-halper
3988915635,~tabler-harled
3285124774,~fortes-harmed
1782002868,~hallux-harped
1385440422,~fonted-hinted
4008444338,~sitten-labret
4106224290,~lisped-losser
4000215709,~hosted-macled
2440145362,~hapten-litmus
2124614579,~tamper-matres
1341172918,~somler-marled
1791833504,~faller-mismet
2116528594,~dorsel-misted
2760116015,~fannel-molder
1020592802,~piller-montem
1136634322,~bitser-mitten
2148923576,~batted-mosser
4254794543,~hassel-nacred
1283916450,~listed-nimmer
837617318,~tambur-nimmer
4218561702,~panted-noshes
2366876854,~fondus-padres
1409658016,~raglet-padres
1118111155,~forrel-noster
4214620975,~filmet-nossel
1227033523,~matted-panmug
2852586146,~rippet-panmug
131137970,~doctus-panted
3497984434,~worset-parrel
3883468591,~raphes-parpen
255264950,~tillet-parted
3013354662,~palmed-partes
2318248402,~daswen-passed
3658351026,~signer-parled
3689327776,~filmet-poster
2368014127,~napped-podler
2804753574,~somdel-pollet
2948991158,~ladner-ramper
2639988147,~bornyl-rammer
204092596,~palled-rillet
57541042,~falsen-risper
1069198496,~pallet-risper
2813570208,~ridder-raptus
2204631855,~nomnem-ridden
644917714,~pastes-roster
1699346616,~rolled-rostel
461439791,~polled-sabres
1717633839,~sopper-sidled
451128502,~tasser-simnel
2309424806,~rammer-signum
2355758758,~nimmer-simper
1098253103,~halfen-sithes
2980717734,~labrys-sorter
3123050680,~sorrel-tarres
2959803042,~randem-tarbet
2221765277,~pitter-tarted
3865184047,~nacred-tildes
484914592,~wissed-tinted
1453918390,~pontes-tipper
54395314,~rillet-tophes
4135914419,~hillet-topped
1148662964,~pinnet-torfel
4113500342,~nilled-wanned
1947666086,~tildes-winned
2356572829,~morsel-winful
1599743142,~danner-wolfed
3037001397,~bitser-worrel
3343778466,~linten-worrel
596116271,~pithes-wormed